Degraded,MOS_CNN,MOS_polqa,MOS_P563,MOS_PESQ,CNNerr,PESQerr,P563err,CNNacc,PESQacc,P563acc
pcsnpny-20150205-xyo_b0153_plr3_opus,3.7045453,4.11,0.0,4.067999839782715,0.4054547405242923,0.042000160217285476,4.11,94.84154274142122,99.46564681657398,47.70992366412214
bjb-20120409_vf20-27_plr1_evs,3.85274,1.0,1.052492,1.0440000295639038,2.8527400493621826,0.04400002956390381,0.05249199999999998,39.94231475026984,99.07368358812835,98.8949052631579
douglaid-20080206_vf6-35_plr3_evs,3.5510838,4.51,1.0,3.7360000610351562,0.9589161968231199,0.7739999389648435,3.51,88.39084507478063,90.62954069049826,57.506053268765136
anonymous-20120712-aae_a0555_plr5_evs,4.1981487,4.02,1.0,3.8929998874664307,0.1781487274169926,0.1270001125335689,3.0199999999999996,97.70722358536689,98.36550691719988,61.132561132561136
mahadev-20140526-iin_a0214_plr3_opus,4.144426,3.82,0.0,3.9539999961853027,0.32442586898803727,0.1339999961853029,3.82,95.71432141363226,98.22985473995637,49.53764861294584
anonymous-20100821-bic_b0090_plr1_opus,4.2175374,3.78,1.0,3.828000068664551,0.43753740310668965,0.04800006866455098,2.78,94.18941031730824,99.36254888891699,63.081009296148736
anonymous-20141225-mwa_a0129_plr1_opus,4.268877,4.03,1.0,4.175000190734863,0.23887702941894506,0.14500019073486303,3.0300000000000002,96.92960116428091,98.13624433502747,61.05398457583547
Aaron-20130527-giy_b0354_plr1_opus,3.2183967,3.55,1.0,4.0279998779296875,0.33160333633422834,0.4779998779296877,2.55,95.45748854336674,93.45205646671661,65.06849315068493
culverscruple-20120801-kit_a0517_plr1_opus,1.9714376,4.42,1.0,3.9779999256134033,2.4485624265670776,0.4420000743865966,3.42,70.02983566013368,94.5899623698091,58.13953488372093
royerfa-20080307_vf7-17_plr1_evs,4.448937,4.2,0.0,4.1020002365112305,0.24893693923950178,0.09799976348876971,4.2,96.86871774541507,98.7672985724683,47.16981132075472
Shakeel-20140926-dun_a0592_plr1_evs,3.4450662,4.52,2.7087779999999997,3.9660000801086426,1.0749337863922115,0.553999919891357,1.8112219999999999,87.00200983806273,93.3010892395241,78.09888754534462
bwonderve-20080504-mud_a0522_plr3_evs,2.820261,3.75,1.0,3.505000114440918,0.9297389984130859,0.24499988555908203,2.75,87.60348002115886,96.73333485921223,63.333333333333336
anonymous-20090509-jss_b0251_plr5_evs,3.29108,3.1,1.0,3.121999979019165,0.19107999801635733,0.02199997901916495,2.1,97.2105109778634,99.67883242307788,69.34306569343066
bonzer-20090919-fir_b0512_plr5_opus,0.989668,4.27,1.0,3.874000072479248,3.2803319883346553,0.3959999275207515,3.2699999999999996,59.09810488360779,95.06234504338215,59.22693266832918
jorje_villafan-20090905-bzk_b0153_plr3_opus,0.99797845,3.86,0.0,3.9860000610351562,2.862021551132202,0.12600006103515637,3.86,62.3913068182365,98.34428303501765,49.2772667542707
anonymous-20140513-ysg_b0197_plr5_evs,3.4764419,4.44,1.0,3.2300000190734863,0.9635581398010258,1.209999980926514,3.4400000000000004,88.23494334797283,85.22588545877272,57.997557997558
ralfherzog-20071218-en42_en42-37_plr3_opus,3.7562897,1.0,0.0,1.0520000457763672,2.7562897205352783,0.05200004577636719,1.0,41.97284798873099,98.90526219418174,78.94736842105263
tomhannen-20080409_vf9-16_plr1_opus,3.5510826,4.72,0.0,4.329999923706055,1.1689173889160154,0.39000007629394506,4.72,86.19932244491127,95.3955126765768,44.27390791027154
douglaid-20080203_vf3-08_plr3_opus,4.115397,3.52,1.0,3.934999942779541,0.5953969764709472,0.414999942779541,2.52,91.8102204061768,94.29161014058403,65.33700137551583
alig-20091130-msk_a0259_plr5_opus,4.2082677,3.76,1.0,3.933000087738037,0.4482676887512209,0.17300008773803732,2.76,94.03105607521677,97.69640362532573,63.24900133155793
anonymous-20101207-qap_a0529_plr1_evs,3.4440894,3.88,1.0,3.638000011444092,0.4359105873107909,0.2419999885559081,2.88,94.28688614271572,96.82830945536162,62.254259501965926
sharrington-20081018-uuu_a0438_plr5_opus,3.8930676,4.2,0.0,3.884999990463257,0.30693240165710467,0.31500000953674334,4.2,96.13921507349554,96.03773572909756,47.16981132075472
ralfherzog-20070914-en5_en5-50_plr5_opus,3.7146833,1.0,0.0,1.062999963760376,2.7146832942962646,0.06299996376037598,1.0,42.848772751657584,98.67368497346577,78.94736842105263
anonymous-20100915-nfh_a0215_plr3_evs,3.3909514,2.31,1.0,3.684000015258789,1.08095139503479,1.374000015258789,1.31,82.16251823374934,77.32673242147213,78.38283828382839
anonymous-20140806-rnh_b0392_plr3_opus,3.7197134,3.89,1.0,4.0920000076293945,0.1702865505218507,0.2020000076293944,2.89,97.77111844866687,97.3560208425472,62.17277486910995
anonymous-20100125-gik_rb-02_plr3_evs,3.583999,3.93,1.0,3.739000082015991,0.34600108146667496,0.19099991798400895,2.93,95.49477758506933,97.51302190124989,61.84895833333333
mfread-10112006-4_a0028_plr1_evs,4.716915,4.04,0.0,3.994999885559082,0.6769151306152343,0.045000114440918004,4.04,91.3104604542332,99.42233485955175,48.138639281129656
anonymous-20100820-orv_a0447_plr5_opus,4.433142,3.91,1.0,3.9549999237060547,0.5231421852111815,0.044999923706054545,2.91,93.1704675559898,99.41253363308023,62.010443864229764
pcsnpny-20150321-ohe_a0590_plr1_evs,3.9277346,4.65,0.0,3.755000114440918,0.7222653865814213,0.8949998855590824,4.65,91.40160254069737,89.34523945762997,44.64285714285714
camdixon-20130819-xdf_b0197_plr5_opus,4.005157,4.24,1.0,3.806999921798706,0.23484300613403342,0.43300007820129416,3.24,97.06078840883562,94.58072492864463,59.449311639549435
ralfherzog-20071013-en13_en13-100_plr1_evs,4.1134753,1.0,0.0,1.034000039100647,3.1134753227233887,0.03400003910064697,1.0,34.45315110056025,99.28420970314427,78.94736842105263
neko_nemo-20131221-xdd_rb-04_plr5_opus,3.1713405,4.18,0.0,3.9230000972747803,1.0086595344543454,0.25699990272521944,4.18,87.28045984294647,96.75914372351552,47.28877679697352
anonymous-20101207-qap_a0528_plr5_opus,4.0389624,4.33,1.695555,4.0,0.2910376358032227,0.33000000000000007,2.6344450000000004,96.3980490618413,95.91584158415841,67.39548267326732
robin-20070224-vf6_vf6-23_plr1_evs,4.446668,4.73,0.0,3.931999921798706,0.28333185195922894,0.7980000782012944,4.73,96.6588225004808,90.58962171932436,44.221698113207545
douglaid-20080213_vf8-03_plr3_evs,3.6725197,3.76,1.0,3.8269999027252197,0.08748031616210916,0.06699990272521994,2.76,98.8351489192795,99.10785748701439,63.24900133155793
pcsnpny-20150303-yyh_a0248_plr5_opus,3.4845784,4.08,0.0,3.5959999561309814,0.5954216289520264,0.4840000438690186,4.08,92.3956369227072,93.8186456721709,47.89272030651341
Marc-20090509-vxw_b0509_plr3_evs,3.6526155,4.02,1.0,3.2920000553131104,0.3673844528198238,0.7279999446868892,3.0199999999999996,95.27175736396623,90.63063134251108,61.132561132561136
bunninmonkey-20150904-xup_b0483_plr1_opus,4.401817,4.71,2.090019,4.283999919891357,0.3081831550598144,0.42600008010864254,2.619981,96.35717310804002,94.96453806018152,69.03095744680851
NotEvilJoe-20130123-kjm_a0286_plr3_evs,4.319408,4.15,1.0,3.7009999752044678,0.16940793991088832,0.4490000247955326,3.1500000000000004,97.85559569733053,94.31645538233504,60.12658227848101
bjb-20120324_vf16-05_plr5_evs,3.9174967,1.0,1.049434,1.0479999780654907,2.917496681213379,0.04799997806549072,0.04943399999999998,38.57901723761308,98.98947414598967,98.95928421052632
mikethecoach-20111106-vqm_a0136_plr3_opus,0.97709244,4.16,0.0,4.067999839782715,3.182907555103302,0.0920001602172853,4.16,59.760966433586574,98.83691327158931,47.408343868520866
ralfherzog-20071217-en41_en41-85_plr3_evs,3.9729474,1.0,0.0,1.0379999876022339,2.972947359085083,0.03799998760223389,1.0,37.4116345455772,99.2000002610056,78.94736842105263
ralfherzog-20080203-en51_en51-89_plr5_evs,3.70862,1.0,0.0,1.0440000295639038,2.708620071411133,0.04400002956390381,1.0,42.97641954923931,99.07368358812835,78.94736842105263
rfreed-20131012-pfo_b0112_plr5_opus,2.8754766,4.67,0.0,3.8559999465942383,1.794523401260376,0.8140000534057616,4.67,78.68737053134946,90.33254093342326,44.536817102137775
tsmock-20120719-ids_a0101_plr3_opus,4.0892167,4.7,0.0,3.9519999027252197,0.6107832908630373,0.7480000972747805,4.7,92.77179537440192,91.147927842902,44.378698224852066
anonymous-20100216-kaa_a0123_plr3_opus,4.390085,3.84,1.747988,4.089000225067139,0.5500852203369142,0.24900022506713881,2.0920119999999995,92.752500390818,96.71936462362136,72.43725955204216
tsmock-20120704-aie_a0097_plr3_evs,4.3741655,4.42,0.0,3.765000104904175,0.0458344650268554,0.6549998950958251,4.42,99.4389906361462,91.98286542110372,45.899632802937575
ralfherzog-20080317-en63_en63-07_plr3_evs,4.102218,1.0,0.0,1.0440000295639038,3.1022181510925293,0.04400002956390381,1.0,34.69014418752569,99.07368358812835,78.94736842105263
farmerjack-20080915-nhr_b0176_plr1_evs,3.659248,3.07,1.0,3.611999988555908,0.5892481136322023,0.5419999885559084,2.07,91.35999833383867,92.0527860915556,69.64809384164224
anonymous-20100206-bhr_b0105_plr1_opus,3.9521575,4.72,1.0,4.224999904632568,0.7678425025939939,0.4950000953674314,3.7199999999999998,90.93456313348295,94.15584302990045,56.08028335301062
schultetwin1-20100709-olv_a0294_plr1_opus,4.3382926,4.69,0.0,3.9619998931884766,0.35170740127563516,0.7280001068115238,4.69,95.83285069578632,91.374406317399,44.43127962085308
anonymous-20120805-ape_a0425_plr3_opus,2.3060496,4.49,1.0,4.11299991607666,2.183950414657593,0.37700008392334006,3.49,73.49574739493212,95.42475626306626,57.64563106796116
anonymous-20131221-xck_ar-24_plr3_evs,4.3165703,4.31,1.0,4.047999858856201,0.006570281982422266,0.26200014114379844,3.3099999999999996,99.9184828538161,96.7493779014417,58.93300248138958
anonymous-20100204-yqf_a0008_plr3_opus,4.336356,4.72,1.0,4.355000019073486,0.3836438369750974,0.3649999809265134,3.7199999999999998,95.47055682437902,95.69067318858897,56.08028335301062
ralfherzog-20071028-en15_en15-007_plr5_evs,4.3375173,1.0,0.0,1.0269999504089355,3.337517261505127,0.026999950408935547,1.0,29.73647870515522,99.43157999139083,78.94736842105263
ralfherzog-20071013-en13_en13-102_plr5_evs,3.2059667,1.0,0.0,1.0360000133514404,2.2059667110443115,0.03600001335144043,1.0,53.55859555696186,99.24210498207493,78.94736842105263
joel-20110310-sjc_b0372_plr5_opus,4.1404953,4.25,0.0,3.88100004196167,0.10950469970703125,0.3689999580383301,4.25,98.63119125366211,95.38750052452087,46.875
pcsnpny-20150321-ybg_a0047_plr3_evs,3.409991,4.34,0.0,3.74399995803833,0.9300089740753172,0.5960000419616698,4.34,88.50421540079954,92.63287958020186,46.35352286773795
Decent-20110516-evd_b0293_plr1_evs,3.5807974,4.42,1.0,3.871999979019165,0.8392025661468505,0.5480000209808349,3.42,89.72824276442043,93.29253340292736,58.13953488372093
joel-20110310-rsn_b0251_plr1_opus,4.0567627,4.22,0.0,4.158999919891357,0.16323730468749975,0.06100008010864233,4.22,97.95185314068382,99.23462885685518,47.05144291091594
farmerjack-20080915-tey_a0565_plr1_evs,4.426121,3.46,1.0,3.6419999599456787,0.9661212348937989,0.18199995994567875,2.46,86.60026026499585,97.47572871087824,65.88072122052705
pcsnpny-20150303-vbm_b0009_plr1_opus,4.5501127,4.77,0.0,4.060999870300293,0.21988727569580035,0.7090001296997066,4.77,97.41916343080047,91.67840223357152,44.01408450704225
zlp-20100110-ujo_a0034_plr3_opus,4.511701,3.61,0.0,4.019000053405762,0.9017011070251466,0.40900005340576184,3.61,87.74862626324528,94.44293405698693,50.951086956521735
khoi2401-20121024-guv_b0156_plr5_opus,4.481888,4.0,0.0,3.619999885559082,0.4818878173828125,0.38000011444091797,4.0,93.78209267893145,95.09677271689138,48.38709677419355
dameko-20110623-msp_a0286_plr3_opus,4.7571855,4.59,2.838946,3.944000005722046,0.16718545913696303,0.645999994277954,1.7510539999999999,97.9953781878062,92.25419671129552,79.00414868105516
anonymous-20111230-pwa_a0183_plr5_evs,4.3045,3.85,1.0,3.734999895095825,0.4545001029968261,0.1150001049041749,2.85,94.01973548688386,98.48684072494507,62.49999999999999
john_doe-20160616-fjd_e0429_plr5_opus,3.9028845,3.45,0.0,3.505000114440918,0.45288448333740217,0.05500011444091779,3.45,93.70993773142497,99.23610952165392,52.08333333333333
icern300-20151115-vuv_a0028_plr5_opus,3.5565195,2.9,0.0,3.6570000648498535,0.6565195083618165,0.7570000648498536,2.9,90.12752619004787,88.6165403781977,56.390977443609025
robin-20070401-vf19_vf19-27_plr3_evs,3.729646,3.82,0.0,3.6019999980926514,0.09035403251647933,0.21800000190734847,3.82,98.80641964971626,97.12021133543793,49.53764861294584
Catbells-20111017-hbp_rp-12_plr3_opus,4.122255,4.64,1.0,3.9790000915527344,0.5177451515197751,0.6609999084472653,3.6399999999999997,93.82902084005036,92.12157439276203,56.615017878426706
LunaTick-20080402-vf3_vf3-30_plr1_opus,4.042704,1.0,1.0,1.0570000410079956,3.0427041053771973,0.057000041007995605,0.0,35.943071465743216,98.79999913667378,100.0
topherfangio-20080604-jvb_a0101_plr5_opus,1.5458473,3.91,0.0,3.822000026702881,2.3641527032852174,0.08799997329711928,3.91,69.13638768557158,98.85117528332742,48.95561357702349
ralfherzog-20080204-en53_en53-24_plr1_opus,4.7516737,1.0,0.0,1.0390000343322754,3.751673698425293,0.03900003433227539,1.0,21.017395822625403,99.1789466456363,78.94736842105263
tomhannen-20080410-vrp_b0006_plr5_opus,4.2601686,4.27,0.0,3.875,0.009831447601317933,0.3949999999999996,4.27,99.87741337155464,95.07481296758105,46.758104738154614
anonymous-20100504-exh_a0407_plr1_opus,2.693068,4.57,1.0,4.169000148773193,1.8769319725036624,0.4009998512268069,3.5700000000000003,77.44072148433098,95.1802902496778,57.09134615384615
mcmurray02-20090312-avd_b0018_plr3_opus,4.111208,4.54,0.0,3.5460000038146973,0.4287920379638672,0.9939999961853028,4.54,94.82759905954322,88.00965022695654,45.23522316043426
robertburrelldonkin-200709011-vf12_vf12-28_plr1_opus,3.650272,2.11,0.0,2.7139999866485596,1.5402718925476075,0.6039999866485597,2.11,73.71549671420465,89.6928329923454,63.99317406143344
anonymous-20140729-qyl_a0508_plr5_evs,1.0497731,3.4,1.0,3.6710000038146973,2.350226902961731,0.27100000381469735,2.4,67.1296936648709,96.2097901564378,66.43356643356644
Derek-20090226-kzq_a0544_plr3_evs,4.059818,3.74,1.0,3.7920000553131104,0.3198177909851072,0.05200005531311014,2.74,95.73006954626025,99.30574024949118,63.41789052069426
bjb-20120409_vf20-05_plr5_evs,4.56162,1.0,1.361018,1.031000018119812,3.5616202354431152,0.03100001811981201,0.36101800000000006,25.01852135909232,99.3473680395829,92.39962105263157
bugsysservant-20091103-cob_b0084_plr5_evs,3.5981042,1.63,1.0,3.2200000286102295,1.968104238510132,1.5900000286102296,0.6299999999999999,63.4181368306667,70.44609612248644,88.2899628252788
anonymous-20130106-rlm_a0193_plr3_opus,3.728845,4.61,1.0,4.208000183105469,0.8811551189422611,0.40199981689453157,3.6100000000000003,89.45986699829831,95.19138975006541,56.81818181818181
polerizer-20091226-iie_a0348_plr5_opus,4.2459793,4.11,0.0,4.179999828338623,0.13597930908203093,0.06999982833862273,4.11,98.26998334501234,99.10941694225671,47.70992366412214
ralfherzog-20071125-en21_en21-16_plr5_evs,4.5948267,1.0,0.0,1.0460000038146973,3.5948266983032227,0.046000003814697266,1.0,24.319437930458463,99.03157886705901,78.94736842105263
royerfa-20080309_vf10-4_plr5_opus,4.6334605,3.3,0.0,3.819999933242798,1.3334605216979982,0.519999933242798,3.3,81.08566635889363,92.62411442208797,53.191489361702125
mramige-20100820-dfw_b0380_plr3_opus,3.6534474,3.93,0.0,4.071000099182129,0.276552610397339,0.14100009918212875,3.93,96.39905455211797,98.16406120856603,48.828125
dgd-20100410-smj_b0110_plr5_evs,3.2352476,4.0,1.0,2.9570000171661377,0.7647523880004883,1.0429999828338623,3.0,90.13222725160661,86.54193570536953,61.29032258064516
GS-20130527-fxh_b0532_plr1_evs,3.7654698,4.42,1.77322,3.7939999103546143,0.654530210494995,0.6260000896453857,2.6467799999999997,91.98861431462674,92.33782020017888,67.60367197062425
ts87-20090126-iop_a0173_plr3_evs,4.243294,3.25,0.0,3.5490000247955322,0.9932937622070312,0.2990000247955322,3.25,85.81008911132812,95.72857107434955,53.57142857142857
anonymous-20110514-pws_b0361_plr5_opus,3.6997738,4.39,1.008745,3.9769999980926514,0.6902262115478512,0.4130000019073483,3.3812549999999995,91.52056251169716,94.92628990285813,58.4612407862408
farmerjack-20080830-ymd_b0016_plr3_evs,4.689945,4.57,1.0,3.5329999923706055,0.11994522094726534,1.0370000076293948,3.5700000000000003,98.55835070976845,87.53605760060823,57.09134615384615
anonymous-20130626-ilf_a0543_plr5_opus,4.206074,4.23,1.0,4.132999897003174,0.023925762176514098,0.0970001029968266,3.2300000000000004,99.70017841884068,98.78445986219515,59.523809523809526
Rain-20120720-fpg_b0146_plr5_evs,3.7453747,3.55,2.036192,3.8399999141693115,0.19537467956542987,0.2899999141693117,1.513808,97.32363452650097,96.02739843603683,79.26290410958904
rortiz-20160226-rml_e0117_plr3_evs,1.0047863,3.4,0.0,3.75600004196167,2.395213747024536,0.35600004196167,3.4,66.50050703462188,95.02097843410252,52.447552447552454
sfauzia-20100731-utk_a0577_plr1_opus,3.7348504,4.53,0.0,4.190000057220459,0.7951495933532717,0.33999994277954126,4.53,90.39674404162716,95.89372049783162,45.289855072463766
tsmock-20120722-hjf_a0234_plr1_opus,3.3800285,4.57,0.0,4.188000202178955,1.1899715137481692,0.3819997978210452,4.57,85.69745776744989,95.40865627618936,45.07211538461539
pcsnpny-20150321-svv_b0284_plr3_evs,1.0539123,2.94,0.0,2.822999954223633,1.8860877180099487,0.11700004577636713,2.94,71.80735847518761,98.25112039198255,56.05381165919282
anonymous-20091019-nlw_b0132_plr5_opus,3.1518261,2.46,1.0,3.9749999046325684,0.6918261432647705,1.5149999046325684,1.46,88.85948239509226,75.60386627000695,76.48953301127214
anonymous-20100207-bse_b0457_plr1_opus,3.003002,3.09,1.0,3.9519999027252197,0.08699807167053208,0.8619999027252199,2.09,98.72809836738988,87.39766224085936,69.44444444444444
grigi-20150812-wjd_b0291_plr3_opus,3.344931,4.22,0.0,3.9539999961853027,0.8750691127777097,0.266000003814697,4.22,89.02046282587567,96.6624842683225,47.05144291091594
JoanPere-20140126-uva_a0288_plr5_opus,3.910504,3.6,1.4648649999999999,3.6689999103546143,0.3105041027069091,0.06899991035461417,2.135135,95.77545438494002,99.06122570946103,70.95054421768708
bonzer-20090919-yes_rp-19_plr3_opus,3.8968217,3.6,1.274169,3.9189999103546143,0.2968217372894286,0.31899991035461417,2.325831,95.96160901647036,95.65986516524335,68.35604081632653
anonymous-20090607-fsh_a0238_plr1_evs,2.6619537,3.97,2.606553,3.614000082015991,1.3080463123321535,0.355999917984009,1.3634470000000003,83.05639491797729,95.38860209865274,82.33876943005181
samuelbuffet-20090712-tcf_a0021_plr1_opus,4.1111693,4.59,0.0,4.324999809265137,0.4788306617736815,0.26500019073486314,4.59,94.25862515858896,96.8225396794381,44.96402877697842
anonymous-20100110-obx_a0239_plr5_opus,3.9618742,2.86,1.0,4.084000110626221,1.1018742465972902,1.2240001106262208,1.8599999999999999,83.33019294103948,81.48260044438395,71.86081694402421
surgemcgee-20120720-oob_ar-04_plr3_opus,3.9913726,4.3,0.0,3.937999963760376,0.30862741470336896,0.36200003623962385,4.3,96.16611907200785,95.50310513988045,46.58385093167703
bjb-20120409_vf20-08_plr5_opus,0.99914515,1.0,1.0,1.034999966621399,0.0008548498153686523,0.034999966621398926,0.0,99.98200316178172,99.26315859744423,100.0
jaiger-vf19-20070220_vf19-18_plr5_evs,3.240378,3.53,0.0,3.7209999561309814,0.28962209701538066,0.19099995613098164,3.53,96.02167449154697,97.37637422897004,51.510989010989015
anonymous-20140327-hwm_rb-31_plr1_opus,3.613566,2.82,1.0,4.156000137329102,0.7935659217834474,1.3360001373291017,1.8199999999999998,87.9213710535244,79.66514250640637,72.29832572298326
fenn-20100606-gwa_a0238_plr1_evs,3.637308,4.72,1.455086,3.8889999389648438,1.0826921176910398,0.831000061035156,3.2649139999999996,87.21733036964534,90.18890128647986,61.453199527744985
polerizer-20091226-iie_a0339_plr5_evs,4.1526494,3.17,0.0,3.7669999599456787,0.9826494026184083,0.5969999599456788,3.17,85.79986412401144,91.37283294876187,54.190751445086704
mikethecoach-20111106-jdw_b0536_plr5_evs,4.5076995,4.45,0.0,3.9179999828338623,0.05769948959350568,0.5320000171661379,4.45,99.29634768788408,93.51219491260807,45.731707317073166
anonymous-20090311-icj_b0029_plr5_opus,4.5366807,4.34,1.0,3.7950000762939453,0.19668069839477553,0.5449999237060545,3.34,97.56884179981736,93.26328895295359,58.71446229913474
Rain-20120720-atw_rb-26_plr3_opus,2.5073752,3.36,1.995636,3.4609999656677246,0.8526247596740721,0.10099996566772473,1.364364,88.00809058123667,98.57946602436392,80.8106329113924
anonymous-20111212-amw_b0387_plr5_opus,4.103164,3.92,1.465976,3.760999917984009,0.18316419601440437,0.15900008201599114,2.454024,97.61194007803905,97.92698719666244,68.00490221642764
covellot-20081129-qap_a0152_plr3_evs,4.378185,2.96,1.0,3.5390000343322754,1.4181847953796387,0.5790000343322754,1.96,78.86460811654786,91.37108741680663,70.78986587183309
jooles-20080826_rp-27_plr3_opus,3.9789345,1.0,0.0,1.128999948501587,2.9789345264434814,0.12899994850158691,1.0,37.28558891697934,97.2842116104929,78.94736842105263
bjb-20120317_vf13-12_plr1_opus,1.1608558,1.0,1.0,1.0329999923706055,0.16085577011108398,0.03299999237060547,0.0,96.61356273450349,99.30526331851357,100.0
aldobranti-20130208-krf_b0155_plr3_evs,3.9070468,2.47,1.0,3.450000047683716,1.4370467948913572,0.9800000476837156,1.4700000000000002,76.89635377988172,84.24437222373447,76.36655948553054
benkay-20090111-rp_rp-11_plr5_evs,1.2417743,1.0,1.0,1.187999963760376,0.241774320602417,0.18799996376037598,0.0,94.910014303107,96.04210602609734,100.0
ruediru-20100209-qix_a0580_plr5_opus,3.3519442,4.52,0.0,4.129000186920166,1.168055791854858,0.39099981307983356,4.52,85.8759880065918,95.27206997485087,45.34461910519953
anonymous-20091020-jeh_b0280_plr5_evs,3.5799987,2.39,1.0,4.013999938964844,1.189998731613159,1.6239999389648436,1.3900000000000001,80.61891316590946,73.55048959340647,77.36156351791531
anonymous-20090415-xuj_a0405_plr5_opus,3.4436677,4.21,1.0,3.8450000286102295,0.7663323497772216,0.3649999713897705,3.21,90.37270917365299,95.4145732237466,59.67336683417086
Catbells-20111008-awq_a0032_plr5_opus,3.009856,4.02,1.0,3.7890000343322754,1.01014401435852,0.23099996566772418,3.0199999999999996,86.99943353463938,97.02702746888386,61.132561132561136
atterer-20080108-dlc_b0451_plr3_opus,2.3874128,2.53,2.154687,3.7049999237060547,0.14258721351623516,1.1749999237060549,0.3753129999999998,97.7295029694867,81.28981013206919,94.02367834394904
anonymous-20080520-dqq_b0292_plr3_opus,3.8969972,3.82,1.0,4.081999778747559,0.07699721336364762,0.26199977874755875,2.82,98.9828637600575,96.53897253966237,62.74768824306473
ralfherzog-20071217-en41_en41-75_plr1_evs,3.9771256,1.0,0.0,1.034999966621399,2.977125644683838,0.034999966621398926,1.0,37.323670638234994,99.26315859744423,78.94736842105263
tomhannen-20080411-qlp_b0295_plr1_opus,4.1254625,4.55,0.0,4.110000133514404,0.4245374679565428,0.4399998664855955,4.55,94.88509074751153,94.69879678933017,45.18072289156627
robertburrelldonkin-20070918-vf15_vf15-14_plr1_opus,3.5739882,2.47,0.0,3.8239998817443848,1.1039881992340086,1.3539998817443846,2.47,82.2509935814468,78.23151315523498,60.28938906752412
jaiger-12032006-6_vf6-39_plr3_opus,4.315237,4.31,0.0,4.189000129699707,0.005237045288086328,0.12099987030029258,4.31,99.93502425200886,98.49876091438843,46.52605459057072
rortiz-20100209-ffs_rb-18_plr3_opus,4.352923,3.93,0.0,3.9000000953674316,0.42292291641235336,0.02999990463256852,3.93,94.49319119254749,99.60937624176343,48.828125
anonymous-20131029-wcc_b0354_plr5_evs,3.9198253,3.97,1.0,3.9600000381469727,0.05017468452453633,0.00999996185302754,2.97,99.35006885330911,99.8704668153753,61.52849740932643
JohanLingen-20080306-nov_a0561_plr3_opus,3.750559,3.75,1.0,3.760999917984009,0.0005590915679931641,0.010999917984008789,2.75,99.99254544576009,99.85333442687988,63.333333333333336
john_doe-20160503-psh_e0212_plr1_evs,4.296087,4.18,0.0,3.9210000038146973,0.11608678817749052,0.25899999618530245,4.18,98.5361060759459,96.73392186399366,47.28877679697352
polerizer-20091226-flf_b0074_plr5_opus,4.017058,3.48,0.0,4.131999969482422,0.5370578956604004,0.6519999694824219,3.48,92.57181333803042,90.98201978585863,51.867219917012456
